check,value,units,criterion,status,note
BARREL_ID,64.0,mm,|value - 64.0| <= 0.1 mm,PASS,
BARREL_OD,74.0,mm,|value - 74.0| <= 0.1 mm,PASS,
PISTON_OD,58.0,mm,|value - 58.0| <= 0.1 mm,PASS,
PISTON_ID,50.0,mm,|value - 50.0| <= 0.1 mm,PASS,
BARREL_TO_PISTON_RADIAL_CLEARANCE,3.0,mm / side,> 0 mm,PASS,
FIXED_ORIFICE_BORE,14.0,mm,|value - 14.0| <= 0.002 mm,PASS,
METERING_DESIGN_STROKE,205.0,mm,|value - 205.0| <= 0.002 mm,PASS,
EQUIVALENT_ORIFICE_START,10.301,mm,|value - 10.301| <= 0.002 mm,PASS,
EQUIVALENT_ORIFICE_END,9.742,mm,|value - 9.742| <= 0.002 mm,PASS,
SMOOTH_VS_TWOSTAGE_STROKE_DIFFERENCE,0.06999999999999318,mm,|difference| <= 1.0 mm,PASS,Smooth law preserves essentially identical peak stroke.
SMOOTH_VS_TWOSTAGE_INTERNAL_STRUT_FORCE,-1.6159999999999997,kN difference,smooth <= two-stage,PASS,
SMOOTH_VS_TWOSTAGE_HYDRAULIC_FORCE,-1.8379999999999992,kN difference,smooth <= two-stage,PASS,
PHYSICAL_STROKE_BASELINE,230.0,mm,|value - 230.0| <= 0.1 mm,PASS,
STROKE_RESERVE_AT_PHASE2D_REFERENCE,23.66199999999992,mm,> 0 mm,PASS,"Phase 2D nominal remains a packaging reference, not static sag."
PHASE2E2C_ALL_CONTINUITY_CHECKS,1.0,boolean,all continuity checks == PASS,PASS,
LOWER_RESERVOIR_REMAINING_PHYSICAL,234.35790551328927,cm^3,> 0 cm^3,PASS,
LOWER_RESERVOIR_REMAINING_VIRTUAL_DIAGNOSTIC,206.73476892530948,cm^3,> 0 cm^3 diagnostic,PASS,
MAX_FIXED_CAVITY_VOLUME_RESIDUAL,0.0,cm^3,<= 0.05 cm^3,PASS,
PRELIMINARY_CLOSURE_6MM,6.0,mm,|value - 6.0| <= 0.1 mm,PASS,
CLOSURE_GRID_EXCEEDS_THEORETICAL_MIN,0.41795744716047434,mm reserve,>= 0 mm,PASS,
E3_INTERFACE_ABOVE_PRESSURE_CAVITY,6.0,mm,> 0 mm,PASS,
CLOSURE_6MM_LIMIT_AND_ULTIMATE_STATUS,1.0,boolean,6 mm row == PASS_BOTH,PASS,
