subsystem,parameter,value,unit,status,source,rationale
Project / frozen input,Aircraft mass,1700.0,kg,FROZEN,Phase 0 / Phase 1 / Phase 2B,Earlier baseline input; do not change without reopening upstream work.
Project / frozen input,Screening weight used in Phase 1,16.68,kN,FROZEN,Phase 0 / Phase 1 / Phase 2B,Earlier baseline input; do not change without reopening upstream work.
Project / frozen input,Wheelbase,2.35,m,FROZEN,Phase 0 / Phase 1 / Phase 2B,Earlier baseline input; do not change without reopening upstream work.
Project / frozen input,Main-gear track,3.2,m,FROZEN,Phase 0 / Phase 1 / Phase 2B,Earlier baseline input; do not change without reopening upstream work.
Project / frozen input,Wheel/strut lateral offset e,120.0,mm,FROZEN,Phase 0 / Phase 1 / Phase 2B,Earlier baseline input; do not change without reopening upstream work.
Project / frozen input,Static loaded tire radius,175.0,mm,FROZEN,Phase 0 / Phase 1 / Phase 2B,Earlier baseline input; do not change without reopening upstream work.
Project / frozen input,Physical oleo stroke,230.0,mm,FROZEN,Phase 0 / Phase 1 / Phase 2B,Earlier baseline input; do not change without reopening upstream work.
Project / frozen input,Static oleo sag,50.0,mm,FROZEN,Phase 0 / Phase 1 / Phase 2B,Earlier baseline input; do not change without reopening upstream work.
Project / frozen input,Full-extension U-to-A length,525.0,mm,FROZEN,Phase 0 / Phase 1 / Phase 2B,Earlier baseline input; do not change without reopening upstream work.
Project / frozen input,Static U-to-A length,475.0,mm,FROZEN,Phase 0 / Phase 1 / Phase 2B,Earlier baseline input; do not change without reopening upstream work.
Project / frozen input,Ultimate factor,1.5,-,FROZEN,Phase 0 / Phase 1 / Phase 2B,Earlier baseline input; do not change without reopening upstream work.
Lower piston,Structural OD,58.0,mm,LOCK_PRELIMINARY,phase2_piston_sizing.csv,Working 58 x 4 mm piston passes strength and buckling screens.
Lower piston,Wall thickness,4.0,mm,LOCK_PRELIMINARY,phase2_piston_sizing.csv,Use as the Phase 2 structural baseline; local root/detail checks remain.
Outer barrel,Bore / ID,64.0,mm,LOCK_PRELIMINARY,phase2_barrel_sizing.csv,Matches the 64 mm bushing OD and preserves the current radial stack.
Outer barrel,Smooth wall thickness,5.0,mm,LOCK_PRELIMINARY,phase2_barrel_sizing.csv,Smooth-barrel strength and pressure margins are comfortable.
Outer barrel,Smooth OD,74.0,mm,LOCK_PRELIMINARY,phase2_barrel_sizing.csv,Derived from selected 64 mm ID and 5 mm wall.
Guide system,Lower bushing static station h_L,250.0,mm above axle,LOCK_PRELIMINARY,phase2_packaging_overlap.csv,Preferred D3/D4 compromise between guide reserve and reaction load.
Guide system,Bushing spacing,150.0,mm,LOCK_PRELIMINARY,phase2_packaging_overlap.csv,150 mm materially reduces reaction load and remains packageable.
Guide system,Upper bushing static station h_U,400.0,mm above axle,LOCK_PRELIMINARY,phase2_packaging_overlap.csv,Follows h_L + spacing.
Guide system,Bushing axial length,30.0,mm,LOCK_PRELIMINARY,phase2_bushing_material_gland_requirements.csv,Not static-strength-driven; retained for load distribution/wear/stiffness.
Guide system,Bushing material,C63000 / AMS 4640 Ni-Al bronze,,LOCK_PRELIMINARY,phase2_bushing_material_gland_requirements.csv,Primary preliminary guide-bearing material.
Guide system,Bushing radial wall,3.0,mm,LOCK_PRELIMINARY,phase2_bushing_material_gland_requirements.csv,Geometrically tied to 58 mm piston OD and 64 mm barrel bore.
Guide / packaging,Top guide-surface overrun,20.0,mm,KEEP_PARAMETRIC,phase2_packaging_overlap.csv,"Convenient packaging allowance, not a structural or regulatory requirement."
Guide / packaging,Required piston guide-surface length,485.0,mm,KEEP_PARAMETRIC,phase2_packaging_overlap.csv,Depends directly on the still-parametric top overrun and upper package.
Gland,Architecture,Integral shoulder + bronze guide/seal carrier + threaded gland nut,,LOCK_PRELIMINARY,phase2_gland_retainer_sizing.csv,Provides separate radial and axial pressure-retention load paths.
