parameter,value,units,classification
release_id,PHASE2E2-V1,-,FROZEN_PRELIMINARY_ARCHITECTURE
barrel_ID,64.0,mm,RETAINED_PHASE2D_WORKING_BASELINE
barrel_OD,74.0,mm,RETAINED_PHASE2D_WORKING_BASELINE
barrel_wall,5.0,mm,RETAINED_PHASE2D_WORKING_BASELINE
piston_OD,58.0,mm,LOCKED
piston_ID,50.0,mm,LOCKED
physical_stroke,230.0,mm,LOCKED
metering_law,SMOOTH_CLAMPED_LINEAR,-,SELECTED_AFTER_COMPARISON
d_eq_start,10.301,mm,LOCKED_EFFECTIVE_MODEL
d_eq_end,9.742,mm,LOCKED_EFFECTIVE_MODEL
metering_design_stroke,205.0,mm,LOCKED_EFFECTIVE_MODEL
fixed_orifice_bore,14.0,mm,E2_V1_WORKING_HARDWARE_BASELINE
pressure_closure_inner_face_above_U,492.780356685791,mm,CONTINUITY_DERIVED
pressure_closure_theoretical_min_thickness,5.582042552839526,mm,SCREEN_ONLY
pressure_closure_preliminary_thickness,6.0,mm,PRELIMINARY_STRUCTURAL_SCREEN
preliminary_E3_interface_outer_face_above_U,498.780356685791,mm,MINIMUM_SOLID_HEAD_INTERFACE
lower_reservoir_remaining_at_physical_stroke,234.35790551328927,cm^3,CONTINUITY_RESULT
release_status,PASS,-,RELEASE_GATE
