item_id,phase,category,parameter,value,units,classification,status,source_or_derivation,engineering_basis,limitation_or_validation,sensitivity_or_consequence
P0-001,Phase 0,Aircraft baseline,Aircraft class,generic 4–6 seat single-engine low-wing tricycle aircraft,-,DESIGN_CHOICE,FROZEN_SCOPE,Phase 0 project definition,Provides a coherent conceptual aircraft for landing-gear design work.,Not tied to one certificated production aircraft.,All loads and packaging are conditional on this project aircraft.
P0-002,Phase 0,Aircraft baseline,Design mass,1700,kg,DESIGN_CHOICE,FROZEN_SCOPE,Phase 0 project definition,Used as the baseline gross aircraft mass for load development.,Must not be presented as manufacturer data.,Directly scales static and landing loads.
P0-003,Phase 0,Configuration,Detailed design focus,one oleo-pneumatic single-wheel main landing gear,-,DESIGN_CHOICE,FROZEN_SCOPE,Phase 0 scope,"Keeps the project deep enough for structural, dynamic, hydraulic and CAD analysis.","Opposite main gear / nose gear are represented through global equilibrium, not fully detailed.",Defines what is and is not physically designed.
P0-004,Phase 0,Certification,Certification-level substantiation,not yet claimed,-,NEEDS_VALIDATION,OPEN_VALIDATION,Project scope boundary,Current work is a preliminary engineering design study.,Applicable FAA/EASA landing-load requirements should be explicitly mapped before claiming certification compliance.,High — affects formal load cases and margins.
P1-001,Phase 1,Landing dynamics,Oil density,850.0,kg/m^3,MODEL_ASSUMPTION,WORKING_MODEL,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase1_model_development\landing_dynamic_v04_2dof.py,Equivalent hydraulic-fluid property.,Temperature dependence is not yet modeled.,Affects damping force.
P1-002,Phase 1,Landing dynamics,Orifice discharge coefficient,0.7,-,MODEL_ASSUMPTION,WORKING_MODEL,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase1_model_development\landing_dynamic_v04_2dof.py,Effective orifice-loss coefficient.,Not calibrated against hardware flow-bench data.,High effect on hydraulic force.
P1-003,Phase 1,Landing dynamics,Gas polytropic exponent,1.3,-,MODEL_ASSUMPTION,WORKING_MODEL,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase1_model_development\landing_dynamic_v04_2dof.py,Effective N2 compression process.,Heat-transfer transient not resolved explicitly.,Moderate effect on gas pressure / stroke.
P1-004,Phase 1,Landing dynamics,Initial gas length,350.0,mm,DESIGN_CHOICE,WORKING_MODEL,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase1_model_development\landing_dynamic_v04_2dof.py,Phase 1 effective pneumatic geometry.,"Effective model dimension, not manufacturer hardware data.",Strong effect on gas-volume ratio.
P1-005,Phase 1,Landing dynamics,Initial absolute gas pressure,2.336,MPa abs,DESIGN_CHOICE,WORKING_MODEL,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase1_model_development\landing_dynamic_v04_2dof.py,Phase 1 precharge / initial gas state.,Requires future servicing / real-hardware feasibility review.,Strong effect on static sag and landing stroke.
P1-006,Phase 1,Landing dynamics,Seal friction / stiction,neglected,-,MODEL_ASSUMPTION,OPEN_VALIDATION,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase1_model_development\landing_dynamic_v04_2dof.py,Simplified oleo dynamic model.,Real seals add breakaway force and hysteresis.,Moderate for low-speed response; possibly significant near reversals.
P1-007,Phase 1,Landing dynamics,Oil compressibility,neglected,-,MODEL_ASSUMPTION,OPEN_VALIDATION,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase1_model_development\landing_dynamic_v04_2dof.py,Incompressible-fluid approximation.,Bulk modulus / entrained gas not represented.,Usually secondary for preliminary sizing; relevant to pressure transients.
P1-008,Phase 1,Landing dynamics,Temperature-dependent viscosity,neglected,-,MODEL_ASSUMPTION,OPEN_VALIDATION,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase1_model_development\landing_dynamic_v04_2dof.py,Constant effective oil property.,Cold / hot oil can significantly change damping.,High for operational envelope robustness.
P1-009,Phase 1,Landing dynamics,Cavitation / aeration / foaming,not explicitly modeled,-,MODEL_ASSUMPTION,OPEN_VALIDATION,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase1_model_development\landing_dynamic_v04_2dof.py,Single-phase hydraulic treatment.,Direct N2-over-oil architecture requires later interface / aeration assessment.,Potentially high for repeated-cycle behavior.
P2-001,Phase 2,Load path,Tire loaded radius,175.0,mm,DESIGN_CHOICE,FROZEN_PRELIM,Phase 2 load-path baseline,Moment arm from axle center to tire contact force.,Should later be reconciled with selected tire / wheel data.,Direct effect on axle and piston bending / torque.
P2-002,Phase 2,Load path,Wheel centerplane to strut-axis offset,120.0,mm,DESIGN_CHOICE,FROZEN_PRELIM,Phase 2 load-path baseline,Defines eccentric load transfer into the strut.,Requires eventual CAD packaging confirmation.,Direct effect on bending moments.
P2-003,Phase 2,Strength methodology,Limit allowable,material yield strength,-,MODEL_ASSUMPTION,FROZEN_PRELIM,Project structural screening convention,Appropriate preliminary elastic-strength criterion.,Does not substitute for certification factors / fatigue / damage tolerance.,Controls limit margins.
P2-004,Phase 2,Strength methodology,Ultimate allowable,material tensile strength,-,MODEL_ASSUMPTION,FROZEN_PRELIM,Project structural screening convention,Used for preliminary ultimate-strength screening.,"Detailed allowables must eventually reflect material form, heat treatment, environment, knockdowns and specification data.",Controls ultimate margins.
P2-005,Phase 2E1,Local stress,Lower-end stress-concentration factor,Kt = 1.5 baseline; sensitivity checked to 3.0,-,MODEL_ASSUMPTION,OPEN_VALIDATION,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase2_structures\phase2e1_lower_end_geometry.csv,Provides conservative screening before final local geometry exists.,Must be replaced / supported by final CAD stress concentration or 3D FEA.,High at piston/knuckle transitions.
P2-006,Phase 2,Axle,Axle section,50 mm OD / 34 mm ID,-,DESIGN_CHOICE,FROZEN_PRELIM,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase2_structures\phase2_axle_sizing.csv,Hollow 300M axle preliminary sizing.,"Bearing seats, threads, spacers and local notches remain detail-design items.",Local geometry can reduce margin.
P2-007,Phase 2,Regression,Historic-vs-current axle result,OPEN — automated audit generated in this run,-,DERIVED,CLOSED_VERSION_MISMATCH_RESOLVED,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase2_structures\phase2_axle_regression_resolution.txt ; C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase2_structures\phase2_axle_regression_resolution.csv,"The historical 610.3/915.4 MPa result belongs to an older load/methodology version. The current authoritative Phase 1 envelope is revised/restructured, and the current axle source uses nominal root axial+bending+torsion stress with no explicit Kt/SCF. The current 50x8 mm row is 320.772903 MPa limit and 481.159355 MPa ultimate, governing at LC2A.","Historical LC4 reconstruction requires effective bending Kt=1.198061 to reproduce 610.3 MPa. This strongly explains the old result but does not prove the exact historical code implementation. The old result is retained only as provenance, not as a current regression target.",CLOSED as a source-version discrepancy. Final axle local geometry still requires bearing-seat/root-fillet/brake-flange/thread/fatigue/fretting/contact/manufacturing validation.
P2E2-001,Phase 2E2,Oleo architecture,Barrel ID,64.0,mm,DESIGN_CHOICE,FROZEN_PRELIM,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase2_structures\phase2e2_v1_baseline.csv,Retained Phase 2D working barrel baseline.,Not minimum-mass optimized; local barrel details still pending.,"Affects pressure stress, guide packaging and cavity volume."
P2E2-002,Phase 2E2,Oleo architecture,Barrel OD,74.0,mm,DESIGN_CHOICE,FROZEN_PRELIM,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase2_structures\phase2e2_v1_baseline.csv,Retained Phase 2D working barrel baseline.,Detail features may locally increase OD.,Affects stiffness / mass / local features.
P2E2-003,Phase 2E2,Oleo architecture,Piston OD,58.0,mm,DESIGN_CHOICE,FROZEN,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase2_structures\phase2e2_v1_baseline.csv,Source-connected Phase 1 / Phase 2 piston geometry.,Final surface finish / tolerance / plating not yet defined.,Controls area and guide interface.
P2E2-004,Phase 2E2,Oleo architecture,Piston ID,50.0,mm,DESIGN_CHOICE,FROZEN,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase2_structures\phase2e2_v1_baseline.csv,58 x 4 mm hollow piston baseline.,Blind-end and local transition detail still require CAD/FEA.,Controls section modulus and reservoir volume.
P2E2-005,Phase 2E2,Oleo architecture,Physical oleo stroke,230.0,mm,DESIGN_CHOICE,FROZEN,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase2_structures\phase2e2_v1_baseline.csv,Physical travel available to the dynamic model.,Must later be checked against detailed stops / seals / bump clearance.,Critical bottoming parameter.
P2E2-006,Phase 2E2,Oleo architecture,Metering law,SMOOTH_CLAMPED_LINEAR,-,DESIGN_CHOICE,FROZEN_EFFECTIVE_MODEL,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase2_structures\phase2e2_metering_law_comparison.csv,Selected after direct comparison with historical two-stage law.,Equivalent law still requires hardware / flow calibration for production design.,Controls force shaping.
P2E2-007,Phase 2E2,Oleo architecture,Equivalent orifice start,10.301,mm,DERIVED,FROZEN_EFFECTIVE_MODEL,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase2_structures\phase2e2_v1_baseline.csv,Phase 1 effective hydraulic law.,"Equivalent hydraulic diameter, not necessarily a literal drilled hole.",Controls initial damping.
P2E2-008,Phase 2E2,Oleo architecture,Equivalent orifice end,9.742,mm,DERIVED,FROZEN_EFFECTIVE_MODEL,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase2_structures\phase2e2_v1_baseline.csv,Phase 1 effective hydraulic law.,Equivalent hydraulic diameter; clamped beyond 205 mm.,Controls late-stroke damping.
P2E2-009,Phase 2E2,Oleo architecture,Fixed metering bore,14.0,mm,DESIGN_CHOICE,FROZEN_PRELIM,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase2_structures\phase2e2_v1_baseline.csv,Working annular-orifice hardware mapping for the effective law.,"Pin support, tolerance, wear and manufacturability remain to be analyzed.",Small diameter errors affect effective area strongly.
P2E2-010,Phase 2E2,Oleo architecture,Direct N2-over-oil topology,upper gas/oil chamber + lower hydraulic reservoir; no separator piston,-,DESIGN_CHOICE,FROZEN_PRELIM_ARCHITECTURE,Phase 2E2 architecture,Physically volume-consistent in the E2-C audit.,"Gas/oil interface behavior, aeration and servicing still need detail design.",Potential operational sensitivity.
P2E2-011,Phase 2E2,Oleo architecture,Closure inner face above U,492.780356685791,mm,DERIVED,FROZEN_PRELIM,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase2_structures\phase2e2c_fluid_continuity_states.csv,Derived from fixed-volume gas/oil/pin continuity.,Depends on retained 25 mm initial upper-oil head and 14 mm metering candidate.,Changes if internal architecture changes.
P2E2-012,Phase 2E2,Oleo architecture,Preliminary closure thickness,6.0,mm,DERIVED,PRELIM_SCREEN_ONLY,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase2_structures\phase2e2_v1_baseline.csv,Simply-supported circular-plate pressure screen.,"Not final CAD thickness; seals, retainer/thread, ports and local SCFs still required.",Local detail may increase required thickness.
P2E2-013,Phase 2E2,Oleo architecture,Preliminary E3 solid-head interface,498.780356685791,mm above U,DERIVED,FROZEN_PRELIM_INTERFACE,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase2_structures\phase2e2_v1_baseline.csv,6 mm structural screen added above continuity-derived closure face.,Actual final solid-head boundary may move outward when retainers/seals are detailed.,E3 attachment must remain outside live pressure cavity.
P2E2-014,Phase 2E2,Oleo architecture,Initial upper-oil head,25,mm,DESIGN_CHOICE,WORKING_BASELINE,Phase 2E2 metering candidate,Provides full-extension liquid inventory above the fixed orifice.,Not independently optimized; changing it moves closure location.,Moderate packaging effect.
P2E2-015,Phase 2E2,Oleo architecture,Metering-pin tip projection at full extension,15,mm,DESIGN_CHOICE,WORKING_BASELINE,Phase 2E2 metering candidate,Ensures pin engagement through the fixed metering plane at extension.,Requires later support / buckling / tolerance analysis.,Affects pin length and cavity displacement.
P2E2-016,Phase 2E2,Oleo architecture,Metering-pin support stiffness / buckling,not yet analyzed in detail,-,NEEDS_VALIDATION,OPEN_VALIDATION,Phase 2E2 limitation register,Current model treats the profiled pin as geometrically ideal.,"Analyze lateral support, buckling, vibration and eccentricity.",Could affect metering repeatability.
P2E2-017,Phase 2E2,Oleo architecture,Pressure closure local details,not yet modeled,-,NEEDS_VALIDATION,OPEN_VALIDATION,Phase 2E2 release boundary,6 mm result is a global plate screen only.,"Seal groove, retainer/thread, ports and local FEA required.",Potential local stress driver.
P2D-460,Phase 2D / E2,Packaging semantics,460 mm required piston / guide length,460,mm,DERIVED,CLOSED_SOURCE_CONFIRMED,C:\Users\Shahi\OneDrive\Documents\Python\Landing_Gear_Project\phase2_structures\phase2_460mm_semantics_audit.txt,Source code defines required piston guide-surface length as h_U(full extension) + L_b/2 + overrun and uses that same length for piston-top intrusion calculations.,460 mm is the required cylindrical piston guide-surface length measured upward from the axle/shoulder datum. It is not automatically the total forged piston/knuckle component length.,CLOSED — E2 axial cavity/packaging interpretation is source-supported.
V-001,Project-wide,Final validation,Fatigue / spectrum loading,not yet completed,-,NEEDS_VALIDATION,OPEN_VALIDATION,End-of-project validation plan,Necessary to move from preliminary design toward detailed/certification-level substantiation.,Repeated landing / taxi cycles require fatigue evaluation.,High
V-002,Project-wide,Final validation,3D local FEA,not yet completed,-,NEEDS_VALIDATION,OPEN_VALIDATION,End-of-project validation plan,Necessary to move from preliminary design toward detailed/certification-level substantiation.,"Required for knuckle, axle transitions, barrel/head and trunnion detail.",High
V-003,Project-wide,Final validation,Manufacturing tolerances / fits,not yet completed,-,NEEDS_VALIDATION,OPEN_VALIDATION,End-of-project validation plan,Necessary to move from preliminary design toward detailed/certification-level substantiation.,"Needed for piston/barrel running fit, bushings, pin and bearing interfaces.",High
V-004,Project-wide,Final validation,Corrosion / surface treatment,not yet completed,-,NEEDS_VALIDATION,OPEN_VALIDATION,End-of-project validation plan,Necessary to move from preliminary design toward detailed/certification-level substantiation.,Material allowables and wear surfaces require environmental/detail definition.,High
V-005,Project-wide,Final validation,Certification load-case mapping,not yet completed,-,NEEDS_VALIDATION,OPEN_VALIDATION,End-of-project validation plan,Necessary to move from preliminary design toward detailed/certification-level substantiation.,Map project load cases to applicable regulatory landing conditions.,High
